id,display_name
54240,Alaria<Strigeidida
18871,1<Noctilucales
17747,Alaria<Laminariales
23239,Albugo<Leotiomycetes
13833,Albugo<Oomycota
38294,Albugo laibachii<Albugo<Leotiomycetes
17895,Albugo laibachii<Albugo<Oomycota
51110,Alcyonidium<Alcyonidiidae
26314,Alcyonidium<Metazoa XXX
24388,Alectoria<Agaricomycetes
23011,Alectoria<Lecanoromycetes
41028,Alectoria sarmentosa<Alectoria<Agaricomycetes
37773,Alectoria sarmentosa<Alectoria<Lecanoromycetes
58270,Alexandrium affine<Alexandrium 02<Gonyaulacaceae<Gonyaulacales
58266,Alexandrium fundyense<Alexandrium 02<Gonyaulacaceae<Gonyaulacales
58264,Alexandrium sp.<Alexandrium 02
58263,Alexandrium tamarense<Alexandrium 02<Gonyaulacaceae<Gonyaulacales
32638,Alisma plantago-aquatica<Alisma
850,Alphaproteobacteria<Proteobacteria
50642,Alpinia<Pterygota
30615,Alpinia<Zingiberales
2251,Alveolata X<Alveolata
44245,Amblypygi<Amblypygi
25799,Amblypygi<Arachnida
90970,Amborella trichopoda<Chloroplast
91531,Amentotaxus yunnanensis<Chloroplast
19226,Amoebophrya<Malv II clade 01
92379,Roperia tesselata
93110,Walvisteuthis jeremiahi
92779,female+eggs<Oithona similis
93580,dinoflagellate-xv
55967,Thalassiosira weissflogii<Thalassiosira
54927,Amphiacon denticulatus<Amphiacon C3
78802,Amphidinium carterae<Amphidinium 01
31512,Amphidinium operculatum<Amphidinium<Gymnodiniaceae<Gymnodiniales
55305,Amphiprora paludosa<Amphiprora
31352,Amphisiella<Spirotrichea X
31305,Amphisiella<Oxytrichidae
31654,Amphisoleniaceae<6
84680,Themisto libellula
31653,Amphisoleniaceae<5
85412,Amphora ovalis<Amphora<Bacillariophyceae<Bacillariophytina
55307,amphora ovalis<Amphora<Bacillariophyceae<Bacillariophytina
92410,Amylax triacantha<temporary
16594,Anaperidae<Acoela
32688,Anemia phyllitidis<Anemia
21388,Aneura mirabilis<Aneura
86129,Anisonema<Peranemadales
45012,Anoplodactylus<Pantopoda
23930,Anoplodactylus<Saccharomycetales
61835,Anoplodactylus evansi<Anoplodactylus<Pantopoda
40240,Anoplodactylus evansi<Anoplodactylus<Saccharomycetales
51519,Antedonidae<Antedonoidea
